Trainer 870,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,KLINKLANG,MEOWSCARADA,SALAMENCE,OKIDOGI,VIKAVOLT,HOUNDOOM
Level,74,74,74,74,74,74
Ability,PLUS,OVERGROW,INTIMIDATE,TOXIC_CHAIN,LEVITATE,SOLAR_POWER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DISCHARGE,ENERGY_BALL,OUTRAGE,POISON_JAB,THUNDERBOLT,FLAMETHROWER
Move 2,SHIFT_GEAR,PLAY_ROUGH,FLAMETHROWER,CRUNCH,AIR_SLASH,NASTY_PLOT
Move 3,ZAP_CANNON,HONE_CLAWS,DRAGON_CLAW,BULK_UP,DIG,INFERNO
Move 4,MIRROR_SHOT,NIGHT_SLASH,FLY,SUPERPOWER,BUG_BUZZ,FOUL_PLAY
Optional Move 1,MAGNETIC_FLUX,FLOWER_TRICK,PROTECT,BITE,CHARGE,THUNDER_FANG
Optional Move 2,GEAR_UP,DOUBLE_TEAM,DRAGON_TAIL,LOW_KICK,X_SCISSOR,LEER
Optional Move 3,THUNDER_SHOCK,TRICK,EMBER,HOWL,CRUNCH,EMBER
Optional Move 4,VICE_GRIP,LEAFAGE,LEER,POISON_FANG,IRON_DEFENSE,HOWL
Optional Move 5,BIND,SCRATCH,BITE,FORCE_PALM,DISCHARGE,SMOG
Optional Move 6,CHARGE,TAIL_WHIP,DRAGON_BREATH,COUNTER,VICE_GRIP,ROAR
Optional Move 7,GEAR_GRIND,BITE,FIRE_FANG,BRUTAL_SWING,MUD_SLAP,BITE
Optional Move 8,CHARGE_BEAM,MAGICAL_LEAF,THUNDER_FANG,GIGA_IMPACT,STRING_SHOT,ODOR_SLEUTH
Optional Move 9,AUTOTOMIZE,QUICK_ATTACK,RAGE,FOCUS_PUNCH,BUG_BITE,BEAT_UP
Optional Move 10,METAL_SOUND,SEED_BOMB,HEADBUTT,ROAR,BITE,FIRE_FANG
Optional Move 11,SCREECH,U_TURN,CRUNCH,TOXIC,SPARK,FEINT_ATTACK
Optional Move 12,LOCK_ON,WORRY_SEED,SCARY_FACE,HIDDEN_POWER,ACROBATICS,EMBARGO
