"CategoryFolder","CategoryName","TemplateFile","TemplateId","TemplateName","Description","PrimaryCommands","ParameterIds","TemplatePath"
"01-Greeting","Greeting","ArchiveGreeting.json","hgss.greeting.archive_greeting","Archive Greeting","Greeting opener that pulls message from common archive mapping.","PlayFanfare;LockAll;FacePlayer;GetCommonMessageArchive;MessageFromArchive;WaitButton;CloseMessage;ReleaseAll;End","scriptId;archiveLookupId;archiveVar;messageId","Template-Scripts/01-Greeting/ArchiveGreeting.json"
"01-Greeting","Greeting","BasicGreeting.json","hgss.greeting.basic","Basic Greeting","Canonical HGSS NPC interaction opener with fanfare, lock, facing, one message, and clean termination.","PlayFanfare;LockAll;FacePlayer;Message;WaitButton;CloseMessage;ReleaseAll;End","scriptId;fanfare;messageId","Template-Scripts/01-Greeting/BasicGreeting.json"
"01-Greeting","Greeting","DialogueGreeting.json","hgss.greeting.dialogue_only","Dialogue Greeting","Greeting flow without fanfare; used for quieter NPC interactions.","LockAll;FacePlayer;Message;WaitButton;CloseMessage;ReleaseAll;End","scriptId;messageId","Template-Scripts/01-Greeting/DialogueGreeting.json"
"01-Greeting","Greeting","FlagConditionalGreeting.json","hgss.greeting.flag_conditional","Flag Conditional Greeting","First-time greeting with a persistent flag gate and alternate repeat dialogue branch.","PlayFanfare;LockAll;FacePlayer;CheckFlag;JumpIf;Message;WaitButton;CloseMessage;SetFlag;ReleaseAll","scriptId;flagId;firstMessageId;repeatMessageId;alreadyDoneFunctionId","Template-Scripts/01-Greeting/FlagConditionalGreeting.json"
"01-Greeting","Greeting","SilentGreetingNoFace.json","hgss.greeting.silent_no_face","Silent Greeting No Face","Lock and message interaction without face-player or fanfare.","LockAll;Message;WaitButton;CloseMessage;ReleaseAll;End","scriptId;messageId","Template-Scripts/01-Greeting/SilentGreetingNoFace.json"
"02-Dialogue","Dialogue","MultiBranchDialogue.json","hgss.dialogue.multi_branch_yes_no","Multi Branch Dialogue","Yes/No dialogue branch pattern with generated yes/no functions using CallIf and Return.","OpenTouchScreen;YesNoTouchScreen;CloseTouchScreen;CompareVarValue;CallIf;Message;WaitButton;CloseMessage;Return","scriptId;resultVar;yesFunctionId;noFunctionId;yesMessageId;noMessageId","Template-Scripts/02-Dialogue/MultiBranchDialogue.json"
"02-Dialogue","Dialogue","SimpleDialogue.json","hgss.dialogue.simple","Simple Dialogue","Minimal message display snippet for insertion into scripts or functions.","Message;WaitButton;CloseMessage","messageId","Template-Scripts/02-Dialogue/SimpleDialogue.json"
"03-ConditionalLogic","ConditionalLogic","CompareFlagAndJump.json","hgss.conditional.compare_flag_and_jump","Compare Flag And Jump","Checks a flag and jumps to one of two function targets.","CheckFlag;JumpIf;Jump","flagId;ifSetFunctionId;ifClearFunctionId","Template-Scripts/03-ConditionalLogic/CompareFlagAndJump.json"
"03-ConditionalLogic","ConditionalLogic","CompareVarAndBranch.json","hgss.conditional.compare_var_and_branch","Compare Var And Branch","Compares a variable to a value and branches with JumpIf/Jump.","CompareVarValue;JumpIf;Jump","varId;compareValue;condition;trueFunctionId;falseFunctionId","Template-Scripts/03-ConditionalLogic/CompareVarAndBranch.json"
"03-ConditionalLogic","ConditionalLogic","NestedBranch.json","hgss.conditional.nested_branch","Nested Branch","Two-stage conditional branching pattern used in complex interaction scripts.","CompareVarValue;JumpIf;Jump","outerVarId;outerValue;outerCondition;innerVarId;innerValue;innerCondition;outerTrueFunctionId;innerTrueFunctionId;fallbackFunctionId","Template-Scripts/03-ConditionalLogic/NestedBranch.json"
